language,emoji
html,:b:
objective-c,:o:
java,:o:
java,:l:
java,:c:
javascript,:v:
ruby,:v:
ruby,:v:
ruby,:v:
php,:v:
javascript,:v:
shell,:v:
html,:v:
javascript,:x:
javascript,:TM:
dm,:cl:
dm,:cl:
java,:es:
javascript,:es:
javascript,:fr:
php,:fr:
php,:fr:
php,:fr:
php,:fr:
javascript,:fu:
javascript,:rooster:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:gb:
javascript,:is:
python,:ok:
css,:ok:
python,:py:
c,:ru:
swift,:up:
php,:up:
php,:up:
php,:up:
php,:up:
php,:up:
php,:up:
php,:up:
php,:up:
coffeescript,:up:
php,:up:
powershell,:up:
java,:up:
java,:up:
java,:up:
ruby,:up:
javascript,:up:
javascript,:up:
javascript,:up:
coffeescript,:up:
coffeescript,:up:
coffeescript,:up:
coffeescript,:up:
coffeescript,:up:
coffeescript,:up:
coffeescript,:up:
coffeescript,:up:
php,:new:
typescript,:vs:
c,:CPT:
python,:SUB:
go,:abc:
python,:add:
python,:add:
python,:add:
python,:add:
python,:add:
python,:add:
python,:add:
python,:add:
java,:ant:
perl,:ant:
java,:beetle:
shell,:art:
python,:art:
coffeescript,:art:
c++,:art:
coffeescript,:art:
coffeescript,:art:
coffeescript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
coffeescript,:art:
coffeescript,:art:
go,:art:
ruby,:art:
c++,:art:
php,:art:
javascript,:art:
php,:art:
c++,:art:
shell,:art:
javascript,:art:
javascript,:art:
shell,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
c++,:art:
coffeescript,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
clojure,:art:
javascript,:art:
coffeescript,:art:
coffeescript,:art:
c#,:art:
c#,:art:
javascript,:art:
shell,:art:
coffeescript,:art:
coffeescript,:art:
coffeescript,:art:
coffeescript,:art:
coffeescript,:art:
coffeescript,:art:
coffeescript,:art:
javascript,:art:
php,:art:
javascript,:art:
java,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
java,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
html,:art:
css,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
coffeescript,:art:
javascript,:art:
javascript,:art:
javascript,:art:
python,:art:
